id,Created (UTC),Active,Currency,Url,Name,credits (metadata),package (metadata)
plink_1Rf43nE7rYAIcmqEUf3QVzIM,2025-06-28 18:39,true,aed,https://buy.stripe.com/test_28EbJ16AA7ly3ic7vh2VG0a,AI Hub Credits - Basic Package,10,basic
plink_1Rf45bE7rYAIcmqEJup5AdIy,2025-06-28 18:42,true,aed,https://buy.stripe.com/test_4gM00jbUUgW83ic3f12VG0b,AI Hub Credits - Popular Package,50,popular
plink_1Rf45qE7rYAIcmqErAymOGQz,2025-06-28 18:42,true,aed,https://buy.stripe.com/test_aFadR99MM35ibOI6rd2VG0c,AI Hub Credits - Premium Package,100,premium
plink_1Rf45uE7rYAIcmqEOmlW7x0i,2025-06-28 18:42,true,aed,https://buy.stripe.com/test_14AbJ12kk7lyf0U16T2VG0d,AI Hub Credits - Enterprise Package,500,enterprise
